LONCOL,LATCOL,vehicleNum,time,geometry
32,46,1,2007-02-19 06:00:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
32,46,1,2007-02-19 06:01:00,"POLYGON ((121.52627259199983 31.281838214756895, 121.52837648380935 31.281838214756895, 121.52837648380935 31.283636856839465, 121.52627259199983 31.283636856839465, 121.52627259199983 31.281838214756895))"
35,48,3,2007-02-19 06:02:00,"POLYGON ((121.53258426742839 31.285435498922034, 121.53468815923792 31.285435498922034, 121.53468815923792 31.287234141004603, 121.53258426742839 31.287234141004603, 121.53258426742839 31.285435498922034))"
35,48,3,2007-02-19 06:03:00,"POLYGON ((121.53258426742839 31.285435498922034, 121.53468815923792 31.285435498922034, 121.53468815923792 31.287234141004603, 121.53258426742839 31.287234141004603, 121.53258426742839 31.285435498922034))"
31,45,1,2007-02-19 06:04:00,"POLYGON ((121.52416870019032 31.280039572674326, 121.52627259199983 31.280039572674326, 121.52627259199983 31.281838214756895, 121.52416870019032 31.281838214756895, 121.52416870019032 31.280039572674326))"
30,44,1,2007-02-19 06:05:00,"POLYGON ((121.52206480838079 31.278240930591757, 121.52416870019032 31.278240930591757, 121.52416870019032 31.280039572674326, 121.52206480838079 31.280039572674326, 121.52206480838079 31.278240930591757))"
30,44,1,2007-02-19 06:06:00,"POLYGON ((121.52206480838079 31.278240930591757, 121.52416870019032 31.278240930591757, 121.52416870019032 31.280039572674326, 121.52206480838079 31.280039572674326, 121.52206480838079 31.278240930591757))"
30,44,1,2007-02-19 06:07:00,"POLYGON ((121.52206480838079 31.278240930591757, 121.52416870019032 31.278240930591757, 121.52416870019032 31.280039572674326, 121.52206480838079 31.280039572674326, 121.52206480838079 31.278240930591757))"
24,42,1,2007-02-19 06:08:00,"POLYGON ((121.50944145752368 31.274643646426618, 121.5115453493332 31.274643646426618, 121.5115453493332 31.276442288509188, 121.50944145752368 31.276442288509188, 121.50944145752368 31.274643646426618))"
23,42,1,2007-02-19 06:09:00,"POLYGON ((121.50733756571417 31.274643646426618, 121.50944145752368 31.274643646426618, 121.50944145752368 31.276442288509188, 121.50733756571417 31.276442288509188, 121.50733756571417 31.274643646426618))"
21,41,1,2007-02-19 06:10:00,"POLYGON ((121.50312978209513 31.27284500434405, 121.50523367390464 31.27284500434405, 121.50523367390464 31.274643646426618, 121.50312978209513 31.274643646426618, 121.50312978209513 31.27284500434405))"
20,41,1,2007-02-19 06:11:00,"POLYGON ((121.5010258902856 31.27284500434405, 121.50312978209513 31.27284500434405, 121.50312978209513 31.274643646426618, 121.5010258902856 31.274643646426618, 121.5010258902856 31.27284500434405))"
20,40,1,2007-02-19 06:12:00,"POLYGON ((121.5010258902856 31.27104636226148, 121.50312978209513 31.27104636226148, 121.50312978209513 31.27284500434405, 121.5010258902856 31.27284500434405, 121.5010258902856 31.27104636226148))"
20,39,1,2007-02-19 06:13:00,"POLYGON ((121.5010258902856 31.26924772017891, 121.50312978209513 31.26924772017891, 121.50312978209513 31.27104636226148, 121.5010258902856 31.27104636226148, 121.5010258902856 31.26924772017891))"
20,36,1,2007-02-19 06:14:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,1,2007-02-19 06:15:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
20,36,1,2007-02-19 06:16:00,"POLYGON ((121.5010258902856 31.263851793931206, 121.50312978209513 31.263851793931206, 121.50312978209513 31.265650436013775, 121.5010258902856 31.265650436013775, 121.5010258902856 31.263851793931206))"
18,34,1,2007-02-19 06:17:00,"POLYGON ((121.49681810666657 31.260254509766067, 121.49892199847609 31.260254509766067, 121.49892199847609 31.262053151848637, 121.49681810666657 31.262053151848637, 121.49681810666657 31.260254509766067))"
16,32,1,2007-02-19 06:18:00,"POLYGON ((121.49261032304753 31.25665722560093, 121.49471421485705 31.25665722560093, 121.49471421485705 31.258455867683498, 121.49261032304753 31.258455867683498, 121.49261032304753 31.25665722560093))"
16,32,1,2007-02-19 06:19:00,"POLYGON ((121.49261032304753 31.25665722560093, 121.49471421485705 31.25665722560093, 121.49471421485705 31.258455867683498, 121.49261032304753 31.258455867683498, 121.49261032304753 31.25665722560093))"
14,31,1,2007-02-19 06:20:00,"POLYGON ((121.48840253942849 31.25485858351836, 121.49050643123802 31.25485858351836, 121.49050643123802 31.25665722560093, 121.48840253942849 31.25665722560093, 121.48840253942849 31.25485858351836))"
14,31,1,2007-02-19 06:21:00,"POLYGON ((121.48840253942849 31.25485858351836, 121.49050643123802 31.25485858351836, 121.49050643123802 31.25665722560093, 121.48840253942849 31.25665722560093, 121.48840253942849 31.25485858351836))"
14,31,1,2007-02-19 06:22:00,"POLYGON ((121.48840253942849 31.25485858351836, 121.49050643123802 31.25485858351836, 121.49050643123802 31.25665722560093, 121.48840253942849 31.25665722560093, 121.48840253942849 31.25485858351836))"
9,28,1,2007-02-19 06:23:00,"POLYGON ((121.4778830803809 31.24946265727065, 121.47998697219042 31.24946265727065, 121.47998697219042 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.24946265727065))"
8,28,3,2007-02-19 06:24:00,"POLYGON ((121.47577918857138 31.24946265727065, 121.4778830803809 31.24946265727065, 121.4778830803809 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.24946265727065))"
7,28,4,2007-02-19 06:25:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,4,2007-02-19 06:26:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,28,4,2007-02-19 06:27:00,"POLYGON ((121.47367529676187 31.24946265727065, 121.47577918857138 31.24946265727065, 121.47577918857138 31.25126129935322, 121.47367529676187 31.25126129935322, 121.47367529676187 31.24946265727065))"
7,29,1,2007-02-19 06:28:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 06:29:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 06:30:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 06:31:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,2,2007-02-19 06:32:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,2,2007-02-19 06:33:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 06:34:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
